Year,Section,Category,applicants_n,accepted_n,note,source
2015,AGE,20-24 years,927,114,,equalopps_workbook
2015,AGE,25-29 years,1727,373,,equalopps_workbook
2015,AGE,30-34 years,548,62,,equalopps_workbook
2015,AGE,35-39 years,184,23,,equalopps_workbook
2015,AGE,40-44 years,103,10,,equalopps_workbook
2015,AGE,45-49 years,51,,,equalopps_workbook
2015,AGE,50-54 years,13,0,,equalopps_workbook
2015,AGE,55 and over,6,0,,equalopps_workbook
2015,AGE,Prefer not to say,6,0,,equalopps_workbook
2016,AGE,20-24 years,969,107,,equalopps_workbook
2016,AGE,25-29 years,1692,355,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2016,AGE,30-34 years,541,96,,equalopps_workbook
2016,AGE,35-39 years,197,15,,equalopps_workbook
2016,AGE,40-44 years,98,6,,equalopps_workbook
2016,AGE,45-49 years,48,6,,equalopps_workbook
2016,AGE,"50-54 years, 55 and over",16,0,,equalopps_workbook
2016,AGE,Prefer not to say,10,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2017,AGE,20-24 years,1045,132,,equalopps_workbook
2017,AGE,25-29 years,1806,339,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2017,AGE,30-34 years,522,73,,equalopps_workbook
2017,AGE,35-39 years,209,24,,equalopps_workbook
2017,AGE,40-44 years,109,7,,equalopps_workbook
2017,AGE,45-49 years,60,6,,equalopps_workbook
2017,AGE,"50-54 years, 55 and over",17,,,equalopps_workbook
2017,AGE,Prefer not to say,12,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2018,AGE,20-24 years,963,126,,equalopps_workbook
2018,AGE,25-29 years,1858,343,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2018,AGE,30-34 years,556,75,,equalopps_workbook
2018,AGE,35-39 years,209,28,,equalopps_workbook
2018,AGE,40-44 years,78,10,,equalopps_workbook
2018,AGE,45-49 years,67,7,,equalopps_workbook
2018,AGE,"50-54 years, 55 and over",20,,,equalopps_workbook
2018,AGE,Prefer not to say,14,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2019,AGE,20-24 years,1001,116,,equalopps_workbook
2019,AGE,25-29 years,1985,391,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2019,AGE,30-34 years,539,77,,equalopps_workbook
2019,AGE,35-39 years,201,12,,equalopps_workbook
2019,AGE,40-44 years,95,11,,equalopps_workbook
2019,AGE,45-49 years,68,,,equalopps_workbook
2019,AGE,50-54 years,17,,,equalopps_workbook
2019,AGE,55 and over,6,0,,equalopps_workbook
2019,AGE,Prefer not to say,13,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2020,AGE,20-24 years,996,141,,equalopps_workbook
2020,AGE,25-29 years,2075,471,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2020,AGE,30-34 years,590,106,,equalopps_workbook
2020,AGE,35-39 years,234,29,,equalopps_workbook
2020,AGE,40-44 years,93,15,,equalopps_workbook
2020,AGE,45-49 years,70,,,equalopps_workbook
2020,AGE,50-54 years,21,,,equalopps_workbook
2020,AGE,55 and over,9,0,,equalopps_workbook
2020,AGE,Prefer not to say,11,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2021,AGE,20-24 years,1014,178,,equalopps_workbook
2021,AGE,25-29 years,2289,609,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2021,AGE,30-34 years,637,143,,equalopps_workbook
2021,AGE,35-39 years,233,32,,equalopps_workbook
2021,AGE,40-44 years,120,14,,equalopps_workbook
2021,AGE,45-49 years,84,9,,equalopps_workbook
2021,AGE,50-54 years,19,,,equalopps_workbook
2021,AGE,55 and over,9,0,,equalopps_workbook
2021,AGE,Prefer not to say,15,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2022,AGE,20-24 years,1025,190,,equalopps_workbook
2022,AGE,25-29 years,2356,709,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2022,AGE,30-34 years,631,162,,equalopps_workbook
2022,AGE,35-39 years,272,55,,equalopps_workbook
2022,AGE,40-44 years,137,9,,equalopps_workbook
2022,AGE,45-49 years,67,10,,equalopps_workbook
2022,AGE,50-54 years,21,,,equalopps_workbook
2022,AGE,55 and over,8,,,equalopps_workbook
2022,AGE,Prefer not to say,7,0,Acceptance values reassigned to '25-29 years' row; set to 0 here (true value suppressed in source),equalopps_workbook
2023,AGE,20-24 years,1160,215,,equalopps_workbook
2023,AGE,25-29 years,2553,716,,equalopps_workbook
2023,AGE,30-34 years,687,170,,equalopps_workbook
2023,AGE,35-39 years,275,43,,equalopps_workbook
2023,AGE,40-44 years,165,20,,equalopps_workbook
2023,AGE,45-49 years,80,9,,equalopps_workbook
2023,AGE,50-54 years,25,,,equalopps_workbook
2023,AGE,55 and over,12,,,equalopps_workbook
2023,AGE,Prefer not to say,33,8,,equalopps_workbook
2024,AGE,20-24 years,1244,210,,equalopps_workbook
2024,AGE,25-29 years,2893,709,,equalopps_workbook
2024,AGE,30-34 years,797,156,,equalopps_workbook
2024,AGE,35-39 years,293,47,,equalopps_workbook
2024,AGE,40-44 years,199,17,,equalopps_workbook
2024,AGE,45-49 years,102,8,,equalopps_workbook
2024,AGE,50-54 years,33,,,equalopps_workbook
2024,AGE,55 and over,10,,,equalopps_workbook
2024,AGE,Prefer not to say,32,7,,equalopps_workbook
2015,DEPENDANTS,Has dependants,381,33,,equalopps_workbook
2015,DEPENDANTS,No dependants,3156,544,,equalopps_workbook
2015,DEPENDANTS,Prefer not to say,28,5,,equalopps_workbook
2016,DEPENDANTS,Has dependants,348,42,,equalopps_workbook
2016,DEPENDANTS,No dependants,3200,543,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2016,DEPENDANTS,Prefer not to say,23,0,Acceptance values reassigned to 'No dependants' row; set to 0 here (true value suppressed in source),equalopps_workbook
2017,DEPENDANTS,Has dependants,362,34,,equalopps_workbook
2017,DEPENDANTS,No dependants,3396,547,Acceptance values moved here from misaligned 'Prefer not to say' row above; success rate recomputed,equalopps_workbook
2017,DEPENDANTS,Prefer not to say,22,0,Acceptance values reassigned to 'No dependants' row; set to 0 here (true value suppressed in source),equalopps_workbook
