"sex","Ethnicity","Census 2011 (counts)","Census 2011 (%)","Census 2021 (counts)","Census 2021 (%)"
"female","All","28,502,536","50.8","30,420,195","51.0"
"female","Asian","2,093,374","49.7","2,807,955","50.9"
"female","Bangladeshi","216,330","48.4","321,555","49.9"
"female","Chinese","207,113","52.7","245,865","55.2"
"female","Indian","693,038","49.0","933,035","50.0"
"female","Pakistani","548,296","48.8","790,415","49.8"
"female","Asian other","428,597","51.3","517,085","53.2"
"female","Black","966,690","51.8","1,266,695","52.6"
"female","Black African","509,829","51.5","779,940","52.4"
"female","Black Caribbean","317,888","53.4","337,100","54.1"
"female","Black other","138,973","49.6","149,655","50.3"
"female","Mixed","612,867","50.1","876,085","51.0"
"female","Mixed white and Asian","166,041","48.6","245,110","50.2"
"female","Mixed white and black African","82,979","50.0","126,980","50.9"
"female","Mixed white and black Caribbean","215,110","50.4","261,340","50.9"
"female","Mixed other","148,737","51.3","242,655","51.9"
"female","White","24,578,477","51.0","24,851,905","51.0"
"female","White British","22,966,879","50.9","22,555,435","50.9"
"female","White Irish","276,660","52.1","263,620","51.9"
"female","Gypsy or Irish Traveller","29,084","50.4","33,955","50.1"
"female","Roma","N/A","N/A","45,075","44.6"
"female","White other","1,305,854","52.5","1,953,820","53.3"
"female","Other","251,128","44.6","617,555","49.2"
"female","Arab","96,457","41.8","155,865","47.0"
"female","Other ethnic background","154,671","46.4","461,690","50.0"
"male","All","27,573,376","49.2","29,177,345","49.0"
"male","Asian","2,120,157","50.3","2,707,465","49.1"
"male","Bangladeshi","230,871","51.6","323,325","50.1"
"male","Chinese","186,028","47.3","199,750","44.8"
"male","Indian","719,920","51.0","931,285","50.0"
"male","Pakistani","576,215","51.2","797,405","50.2"
"male","Asian other","407,123","48.7","455,700","46.8"
"male","Black","898,200","48.2","1,142,585","47.4"
"male","Black African","479,799","48.5","708,440","47.6"
"male","Black Caribbean","276,937","46.6","286,020","45.9"
"male","Black other","141,464","50.4","148,125","49.7"
"male","Mixed","611,533","49.9","841,890","49.0"
"male","Mixed white and Asian","175,686","51.4","243,115","49.8"
"male","Mixed white and black African","82,995","50.0","122,620","49.1"
"male","Mixed white and black Caribbean","211,605","49.6","251,700","49.1"
"male","Mixed other","141,247","48.7","224,455","48.1"
"male","White","23,630,918","49.0","23,847,340","49.0"
"male","White British","22,167,807","49.1","21,799,600","49.1"
"male","White Irish","254,427","47.9","243,845","48.1"
"male","Gypsy or Irish Traveller","28,596","49.6","33,815","49.9"
"male","Roma","N/A","N/A","55,905","55.4"
"male","White other","1,180,088","47.5","1,714,175","46.7"
"male","Other","312,568","55.4","638,065","50.8"
"male","Arab","134,143","58.2","175,980","53.0"
"male","Other ethnic background","178,425","53.6","462,085","50.0"
